"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","astro","src/astro/HarvesterMain.java","3","15","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"2","astro","src/astro/HarvesterMain.java","3","17","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"3","astro","src/astro/HarvesterMain.java","3","19","Local variable 'controller' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"4","astro","src/astro/Main.java","3","11","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"5","controller","src/controller/AlgorithmSettingsController.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","controller","src/controller/AlgorithmSettingsController.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"7","controller","src/controller/AlgorithmSettingsController.java","3","24","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","controller","src/controller/AlgorithmSettingsController.java","3","24","Private field 'portfolio' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"9","controller","src/controller/AlgorithmSettingsController.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"10","controller","src/controller/AlgorithmSettingsController.java","3","26","Private field 'saveDown' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"11","controller","src/controller/AlgorithmSettingsController.java","3","28","Avoid variables with short names like e","Naming Rules","ShortVariable"
"12","controller","src/controller/AlgorithmSettingsController.java","3","28","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","controller","src/controller/AlgorithmSettingsController.java","3","30","Local variable 'jpaHelper' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"14","controller","src/controller/AlgorithmSettingsController.java","3","38","Parameter 'portfolio' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"15","controller","src/controller/AlgorithmSettingsController.java","3","58","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"16","controller","src/controller/AstroController.java","3","29","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"17","controller","src/controller/AstroController.java","3","33","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"18","controller","src/controller/AstroController.java","3","33","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"19","controller","src/controller/AstroController.java","3","34","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"20","controller","src/controller/AstroController.java","3","34","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"21","controller","src/controller/AstroController.java","3","35","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
